start_date,creates,edits,deletes,total
2023-02-01,119,177,25,321
2023-02-02,939,633,258,1830
2023-02-03,681,313,105,1099
2023-02-04,784,1054,106,1944
2023-02-05,593,1188,336,2117
2023-02-06,310,235,68,613
2023-02-07,2116,728,646,3490
2023-02-08,1485,360,236,2081
2023-02-09,2989,594,1874,5457
2023-02-10,553,262,20,835
2023-02-11,1983,851,775,3609
2023-02-12,2273,1008,187,3468
2023-02-13,1609,1645,372,3626
2023-02-14,3380,1690,230,5300
2023-02-15,1001,588,108,1697
2023-02-16,1609,988,239,2836
2023-02-17,1019,885,205,2109
2023-02-18,781,1285,217,2283
2023-02-19,3295,1991,364,5650
2023-02-20,1381,1128,428,2937
2023-02-21,1814,1271,477,3562
2023-02-22,1873,1463,149,3485
2023-02-23,3179,1889,268,5336
2023-02-24,1285,1294,208,2787
2023-02-25,362,404,58,824
2023-02-26,685,797,166,1648
2023-02-27,618,489,65,1172
2023-02-28,640,379,232,1251
2023-03-01,546,382,177,1105
2023-03-02,724,858,120,1702
2023-03-03,590,1021,101,1712
2023-03-04,760,876,216,1852
2023-03-05,483,689,134,1306
2023-03-06,482,302,22,806
2023-03-07,1309,699,83,2091
2023-03-08,281,212,85,578
2023-03-09,285,195,81,561
2023-03-10,512,336,18,866
2023-03-11,428,1172,584,2184
2023-03-12,787,1218,185,2190
2023-03-13,364,311,58,733
2023-03-14,1527,675,256,2458
2023-03-15,1565,691,69,2325
2023-03-16,479,301,47,827
2023-03-17,998,422,112,1532
2023-03-18,768,576,37,1381
2023-03-19,1527,1017,93,2637
2023-03-20,1176,1126,174,2476
2023-03-21,686,617,56,1359
2023-03-22,499,555,69,1123
2023-03-23,1026,1182,142,2350
2023-03-24,2971,2238,224,5433
2023-03-25,490,399,32,921
2023-03-26,3064,2417,203,5684
2023-03-27,1645,1010,150,2805
2023-03-28,4655,991,91,5737
2023-03-29,356,758,105,1219
2023-03-30,611,467,60,1138
2023-03-31,1227,1164,145,2536
2023-04-01,187,263,15,465
2023-04-02,589,285,128,1002
2023-04-03,2583,1269,152,4004
2023-04-04,2130,997,169,3296
2023-04-05,1356,559,55,1970
2023-04-06,1709,1456,65,3230
2023-04-07,628,2934,45,3607
2023-04-08,1580,666,153,2399
2023-04-09,699,94,62,855
2023-04-10,1615,1365,123,3103
2023-04-11,829,2507,151,3487
2023-04-12,496,709,941,2146
2023-04-13,238,432,97,767
2023-04-14,666,747,285,1698
2023-04-15,2507,1645,237,4389
2023-04-16,1157,609,225,1991
2023-04-17,842,738,290,1870
2023-04-18,2059,1847,185,4091
2023-04-19,1067,883,212,2162
2023-04-20,577,1325,160,2062
2023-04-21,3983,2225,497,6705
2023-04-22,207,922,204,1333
2023-04-23,1938,1110,425,3473
2023-04-24,3891,1819,209,5919
2023-04-25,5461,4330,686,10477
2023-04-26,659,229,53,941
2023-04-27,1782,788,73,2643
2023-04-28,2090,1388,159,3637
2023-04-29,8868,4865,1556,15289
2023-04-30,5147,3102,453,8702
2023-05-01,2659,1987,425,5071
2023-05-02,649,340,62,1051
2023-05-03,1141,5145,391,6677
2023-05-04,1014,755,609,2378
2023-05-05,3289,1413,793,5495
2023-05-06,2830,1431,790,5051
2023-05-07,8190,3979,1590,13759
2023-05-08,3979,1938,834,6751
2023-05-09,1736,1627,473,3836
2023-05-10,3980,2617,619,7216
2023-05-11,1572,1263,360,3195
2023-05-12,1376,1081,129,2586
2023-05-13,3280,2995,625,6900
2023-05-14,2706,2384,840,5930
2023-05-15,1649,1607,314,3570
2023-05-16,3095,2442,891,6428
2023-05-17,4853,2670,910,8433
2023-05-18,6958,3482,961,11401
2023-05-19,11874,2588,474,14936
2023-05-20,7832,2759,1166,11757
2023-05-21,6238,3400,2259,11897
2023-05-22,7924,4906,1838,14668
2023-05-23,2760,2527,696,5983
2023-05-24,1558,1548,226,3332
2023-05-25,1643,2087,574,4304
2023-05-26,1016,2177,549,3742
2023-05-27,2375,1948,890,5213
2023-05-28,1084,877,55,2016
2023-05-29,1752,868,298,2918
2023-05-30,1396,1205,468,3069
2023-05-31,3310,2875,740,6925
2023-06-01,1263,478,131,1872
2023-06-02,1833,2536,750,5119
2023-06-03,1844,2110,911,4865
2023-06-04,3289,3543,1740,8572
2023-06-05,835,421,295,1551
2023-06-06,2252,2721,894,5867
2023-06-07,960,496,437,1893
2023-06-08,1732,2553,579,4864
2023-06-09,1602,4180,870,6652
2023-06-10,954,2871,559,4384
2023-06-11,1650,1075,293,3018
2023-06-12,992,845,223,2060
2023-06-13,2038,1892,682,4612
2023-06-14,4692,3324,1980,9996
2023-06-15,4211,2011,722,6944
2023-06-16,3897,1449,348,5694
2023-06-17,1381,598,506,2485
2023-06-18,1319,872,594,2785
2023-06-19,1216,860,226,2302
2023-06-20,2645,1230,438,4313
2023-06-21,3281,1150,417,4848
2023-06-22,1597,1080,291,2968
2023-06-23,3638,1035,220,4893
2023-06-24,387,234,164,785
2023-06-25,1410,1377,257,3044
2023-06-26,1903,973,122,2998
2023-06-27,5287,914,276,6477
2023-06-28,5281,2310,348,7939
2023-06-29,2328,1563,837,4728
2023-06-30,1946,1601,905,4452
2023-07-01,1005,15977,102,17084
2023-07-02,1354,3674,88,5116
2023-07-03,1875,2792,295,4962
2023-07-04,4128,15927,543,20598
2023-07-05,3143,1640,415,5198
2023-07-06,1225,1598,237,3060
2023-07-07,3531,1725,670,5926
2023-07-08,1610,871,303,2784
2023-07-09,1061,890,189,2140
2023-07-10,1264,1195,75,2534
2023-07-11,2788,1171,121,4080
2023-07-12,3241,1738,325,5304
2023-07-13,2865,807,248,3920
2023-07-14,1450,1222,235,2907
2023-07-15,1620,849,581,3050
2023-07-16,1253,1254,351,2858
2023-07-17,2788,908,361,4057
2023-07-18,3700,1042,158,4900
2023-07-19,2032,1696,474,4202
2023-07-20,2314,711,223,3248
2023-07-21,2534,2116,204,4854
2023-07-22,553,801,280,1634
2023-07-23,830,972,133,1935
2023-07-24,2558,2902,614,6074
2023-07-25,6674,4794,620,12088
2023-07-26,6078,4225,796,11099
2023-07-27,3084,3065,221,6370
2023-07-28,1520,1286,294,3100
2023-07-29,229,63,26,318
2023-07-30,0,0,0,0
total,371405,287708,68462,727575
