start_date,creates,edits,deletes,total
2023-01-30,3116,3365,830,7311
2023-02-06,11709,4038,3806,19553
2023-02-13,12694,9072,1735,23501
2023-02-20,10579,8246,1754,20579
2023-02-27,4361,4694,1045,10100
2023-03-06,4084,4134,1058,9276
2023-03-13,7228,3993,672,11893
2023-03-20,9912,8534,900,19346
2023-03-27,9270,4938,694,14902
2023-04-03,10685,7975,701,19361
2023-04-10,7508,8014,2059,17581
2023-04-17,10673,9050,1973,21696
2023-04-24,27898,16521,3189,47608
2023-05-01,19772,15050,4660,39482
2023-05-08,18629,13905,3880,36414
2023-05-15,42499,18948,6975,68422
2023-05-22,18360,16070,4828,39258
2023-05-29,14687,13615,5038,33340
2023-06-05,9985,14317,3927,28229
2023-06-12,18530,10991,5055,34576
2023-06-19,14174,6966,2013,23153
2023-06-26,19104,27012,2678,48794
2023-07-03,16573,25443,2652,44668
2023-07-10,14481,8236,1936,24653
2023-07-17,14751,8246,1833,24830
2023-07-24,20143,16335,2571,39049
