start_date,creates,edits,deletes,total
2015-10-01,67770,26327,8875,102972
2015-11-01,193906,69283,36858,300047
2015-12-01,82006,25868,9381,117255
2016-01-01,111585,86156,8279,206020
2016-02-01,42132,12010,5146,59288
2016-03-01,34123,12684,7877,54684
2016-04-01,8192,10499,4019,22710
2016-05-01,15226,18803,1328,35357
2016-06-01,4234,3503,1078,8815
2016-07-01,10843,7735,1689,20267
2016-08-01,22825,8108,439,31372
2016-09-01,39842,15742,1032,56616
2016-10-01,2895423,501426,131435,3528284
2016-11-01,135487,56748,10326,202561
2016-12-01,221639,56960,17446,296045
2017-01-01,37658,28572,3286,69516
2017-02-01,39858,19889,4308,64055
2017-03-01,14235,9559,2273,26067
2017-04-01,29286,5777,1373,36436
2017-05-01,7768,8864,846,17478
2017-06-01,3150,2057,495,5702
2017-07-01,24511,5576,872,30959
2017-08-01,59734,7405,930,68069
2017-09-01,23254,3049,5857,32160
2017-10-01,1765,296,137,2198
total,4126452,1002896,265585,5394933
