start_date,creates,edits,deletes,total
2020-08-01,9135,1890,546,11571
2020-09-01,71474,44234,9998,125706
2020-10-01,45048,39550,8814,93412
2020-11-01,8872,5304,2288,16464
2020-12-01,15921,5044,2106,23071
2021-01-01,18807,17125,9811,45743
2021-02-01,13666,4708,2503,20877
2021-03-01,15889,7525,3066,26480
2021-04-01,17203,6581,2119,25903
2021-05-01,40681,25374,12044,78099
2021-06-01,68724,80190,12334,161248
2021-07-01,29614,27015,5412,62041
2021-08-01,618345,203522,49778,871645
2021-09-01,326555,146396,42004,514955
2021-10-01,282085,91388,25462,398935
2021-11-01,24396,17494,8361,50251
2021-12-01,15583,23138,8368,47089
2022-01-01,71756,67737,10632,150125
2022-02-01,219579,77564,14449,311592
2022-03-01,23714,31551,56651,111916
2022-04-01,4518,5497,1843,11858
2022-05-01,4488,1934,1550,7972
2022-06-01,3898,5662,2639,12199
2022-07-01,5408,2332,692,8432
2022-08-01,428,255,266,949
total,1955787,939010,293736,3188533
