start_date,creates,edits,deletes,total
2009-01-12,55,2314,146,2515
2009-01-19,7,2,0,9
2009-01-26,5,6,0,11
2009-02-02,20,11346,234,11600
2009-02-09,10,143,54,207
2009-02-16,8,229,0,237
2009-02-23,13,528,3,544
2009-03-02,8,914,0,922
2009-03-09,10,144,0,154
2009-03-16,321,19,0,340
2009-03-23,31,10,0,41
2009-03-30,130,1660,5189,6979
2009-04-06,3,11,0,14
2009-04-13,422,90,28,540
2009-04-20,77,22,0,99
2009-04-27,47,32,0,79
2009-05-04,22,15,0,37
2009-05-11,144,42,2,188
2009-05-18,82,45,2,129
2009-05-25,5,5,0,10
2009-06-01,29,9,0,38
2009-06-08,4,0,0,4
2009-06-15,25,4,0,29
2009-06-22,16,3,0,19
2009-06-29,10,22,0,32
2009-07-06,11,4,0,15
2009-07-13,28,22,1,51
2009-07-20,10,11,5,26
2009-07-27,106,65,0,171
2009-08-03,11,31,1,43
2009-08-10,15,33,0,48
2009-08-17,14,32,0,46
2009-08-24,65,143,0,208
2009-08-31,27,52,0,79
2009-09-07,15,19,0,34
2009-09-14,30,103,3,136
2009-09-21,35,151,0,186
2009-09-28,8,51,1,60
2009-10-05,88,441,5,534
2009-10-12,8,20,0,28
2009-10-19,7,33,0,40
2009-10-26,13,24,0,37
2009-11-02,10,18,1,29
2009-11-09,28,26,0,54
2009-11-16,5,24,0,29
2009-11-23,7,90,2,99
2009-11-30,8,17,0,25
2009-12-07,63,24,0,87
2009-12-14,21,20,0,41
2009-12-21,7,13,0,20
2009-12-28,2,36,1,39
2010-01-04,9,7,0,16
2010-01-11,282375,75245,31727,389347
2010-01-18,406899,137683,32423,577005
2010-01-25,150310,52678,12556,215544
2010-02-01,104051,35843,6249,146143
2010-02-08,129056,25760,33793,188609
2010-02-15,56056,41598,2580,100234
2010-02-22,55048,6278,1889,63215
2010-03-01,22472,13676,1334,37482
2010-03-08,239,2000,184,2423
2010-03-15,1198,1781,133,3112
2010-03-22,1842,2173,156,4171
2010-03-29,19929,4275,1390,25594
2010-04-05,4585,3580,643,8808
2010-04-12,336,569,99,1004
2010-04-19,1874,399,18,2291
2010-04-26,735,435,415,1585
2010-05-03,374,195,2,571
2010-05-10,724,152,305,1181
2010-05-17,112,68,6,186
2010-05-24,387,316,9,712
2010-05-31,379,964,15,1358
2010-06-07,464,370,44,878
2010-06-14,584,421,170,1175
2010-06-21,673,1231,235,2139
2010-06-28,148,233,1,382
2010-07-05,1219,2279,60,3558
2010-07-12,238,140,0,378
2010-07-19,746,773,55,1574
2010-07-26,120,118,5,243
2010-08-02,1338,1037,176,2551
2010-08-09,360,532,50,942
2010-08-16,277,610,124,1011
2010-08-23,3988,431,11573,15992
2010-08-30,392,335,1002,1729
2010-09-06,1200,300,81,1581
2010-09-13,2653,883,52,3588
2010-09-20,1331,1070,50,2451
2010-09-27,1323,1420,30,2773
2010-10-04,3154,935,65,4154
2010-10-11,1982,707,35,2724
2010-10-18,4492,1219,74,5785
2010-10-25,3299,1027,56,4382
2010-11-01,9221,2053,243,11517
2010-11-08,8506,33819,590,42915
2010-11-15,1993,1592,83,3668
2010-11-22,890,200,475,1565
2010-11-29,4369,1421,362,6152
2010-12-06,14083,1490,951,16524
2010-12-13,16416,1526,397,18339
2010-12-20,7346,648,700,8694
2010-12-27,5657,1182,627,7466
2011-01-03,7919,1168,1009,10096
2011-01-10,1342,43,8,1393
total,1348859,486006,150987,1985852
