start_date,creates,edits,deletes,total
2015-09-28,1612,231,172,2015
2015-10-05,4691,2826,1099,8616
2015-10-12,12161,1209,1027,14397
2015-10-19,16174,2936,916,20026
2015-10-26,34547,22444,5728,62719
2015-11-02,29536,14095,7393,51024
2015-11-09,22304,11401,4770,38475
2015-11-16,132653,35121,23598,191372
2015-11-23,7611,5044,990,13645
2015-11-30,4848,2479,999,8326
2015-12-07,11601,7837,4162,23600
2015-12-14,14773,5781,621,21175
2015-12-21,28645,6395,2021,37061
2015-12-28,23304,3791,1887,28982
2016-01-04,20829,16273,2054,39156
2016-01-11,48833,39507,2437,90777
2016-01-18,32732,25648,2570,60950
2016-01-25,8413,4616,949,13978
2016-02-01,15469,1324,423,17216
2016-02-08,8268,8198,2381,18847
2016-02-15,15993,783,1246,18022
2016-02-22,2388,1688,1053,5129
2016-02-29,3882,3984,662,8528
2016-03-07,17042,5831,3302,26175
2016-03-14,6092,798,665,7555
2016-03-21,4315,869,1206,6390
2016-03-28,7387,1666,2213,11266
2016-04-04,723,1145,117,1985
2016-04-11,877,2343,2261,5481
2016-04-18,1021,3762,1263,6046
2016-04-25,994,2802,250,4046
2016-05-02,1601,4416,196,6213
2016-05-09,2347,2461,79,4887
2016-05-16,1150,2621,245,4016
2016-05-23,8889,7318,727,16934
2016-05-30,1810,2625,97,4532
2016-06-06,1840,1141,502,3483
2016-06-13,290,138,35,463
2016-06-20,1120,873,371,2364
2016-06-27,928,907,158,1993
2016-07-04,2669,1182,766,4617
2016-07-11,1641,293,423,2357
2016-07-18,2662,2653,125,5440
2016-07-25,3352,3413,371,7136
2016-08-01,10764,2939,142,13845
2016-08-08,6155,798,90,7043
2016-08-15,2362,652,9,3023
2016-08-22,1724,3184,70,4978
2016-08-29,3638,1568,192,5398
2016-09-05,3952,1580,58,5590
2016-09-12,396,2019,15,2430
2016-09-19,20130,6728,729,27587
2016-09-26,84537,8582,909,94028
2016-10-03,1583174,209901,54047,1847122
2016-10-10,931354,163204,48277,1142835
2016-10-17,204965,52248,9811,267024
2016-10-24,102331,70044,18265,190640
2016-10-31,32679,14633,2144,49456
2016-11-07,28044,8594,1451,38089
2016-11-14,12938,24001,762,37701
2016-11-21,7294,4650,498,12442
2016-11-28,108672,15493,8456,132621
2016-12-05,92063,14502,5639,112204
2016-12-12,43317,10410,4142,57869
2016-12-19,22001,15014,4448,41463
2016-12-26,13640,8747,539,22926
2017-01-02,11987,8278,1467,21732
2017-01-09,12056,10896,599,23551
2017-01-16,6664,5517,364,12545
2017-01-23,4761,2322,599,7682
2017-01-30,3262,1968,394,5624
2017-02-06,19728,5682,912,26322
2017-02-13,3771,1402,482,5655
2017-02-20,11168,9713,2589,23470
2017-02-27,9328,6828,1313,17469
2017-03-06,1779,2148,214,4141
2017-03-13,4563,2207,551,7321
2017-03-20,1488,394,337,2219
2017-03-27,1358,543,134,2035
2017-04-03,431,86,18,535
2017-04-10,14096,1219,418,15733
2017-04-17,9948,1962,395,12305
2017-04-24,3735,2125,439,6299
2017-05-01,2869,458,138,3465
2017-05-08,131,547,262,940
2017-05-15,407,702,100,1209
2017-05-22,4330,7147,341,11818
2017-05-29,89,37,8,134
2017-06-05,2281,77,13,2371
2017-06-12,562,1678,442,2682
2017-06-19,110,42,2,154
2017-06-26,744,1948,163,2855
2017-07-03,65,327,347,739
2017-07-10,2460,356,84,2900
2017-07-17,8322,375,277,8974
2017-07-24,10882,2689,22,13593
2017-07-31,27743,1171,167,29081
2017-08-07,8438,749,217,9404
2017-08-14,15254,2783,313,18350
2017-08-21,9657,2432,177,12266
2017-08-28,1910,603,117,2630
2017-09-04,1775,529,416,2720
2017-09-11,4346,1085,4737,10168
2017-09-18,1794,122,7,1923
2017-09-25,14251,1095,650,15996
2017-10-02,1762,295,137,2194
total,4126452,1002896,265585,5394933
