start_date,creates,edits,deletes,total
2020-08-10,3332,261,156,3749
2020-08-17,1480,175,37,1692
2020-08-24,4315,1448,352,6115
2020-08-31,1825,750,206,2781
2020-09-07,5644,2177,1284,9105
2020-09-14,20947,16697,1759,39403
2020-09-21,33482,17057,5101,55640
2020-09-28,19866,17154,2631,39651
2020-10-05,15499,13835,2529,31863
2020-10-12,11196,10038,2153,23387
2020-10-19,4958,3644,1875,10477
2020-10-26,3138,2450,1283,6871
2020-11-02,3268,2658,762,6688
2020-11-09,2085,681,431,3197
2020-11-16,1484,716,498,2698
2020-11-23,2007,1218,587,3812
2020-11-30,1334,1201,463,2998
2020-12-07,8509,2273,841,11623
2020-12-14,3503,627,369,4499
2020-12-21,1593,793,410,2796
2020-12-28,1501,366,90,1957
2021-01-04,3649,2030,1503,7182
2021-01-11,4977,1459,3473,9909
2021-01-18,4417,6364,1899,12680
2021-01-25,5248,7075,2871,15194
2021-02-01,5533,1309,757,7599
2021-02-08,2722,1041,315,4078
2021-02-15,4044,1779,1102,6925
2021-02-22,1367,579,329,2275
2021-03-01,3650,1371,639,5660
2021-03-08,4508,2252,1474,8234
2021-03-15,2994,1501,440,4935
2021-03-22,2564,1841,478,4883
2021-03-29,3603,1497,251,5351
2021-04-05,6751,2185,471,9407
2021-04-12,4013,1517,565,6095
2021-04-19,3546,1373,765,5684
2021-04-26,5279,2517,616,8412
2021-05-03,19828,8276,5695,33799
2021-05-10,6804,3140,1583,11527
2021-05-17,3093,4913,1260,9266
2021-05-24,6996,6945,2978,16919
2021-05-31,2715,5988,591,9294
2021-06-07,3861,4758,1301,9920
2021-06-14,52239,49208,8903,110350
2021-06-21,8595,14588,1242,24425
2021-06-28,11287,9861,1669,22817
2021-07-05,4805,1679,745,7229
2021-07-12,6761,12671,1059,20491
2021-07-19,4975,7478,1787,14240
2021-07-26,3247,1136,465,4848
2021-08-02,1980,1561,316,3857
2021-08-09,55098,17295,4542,76935
2021-08-16,359096,115432,21115,495643
2021-08-23,165359,53247,18091,236697
2021-08-30,70430,30389,9961,110780
2021-09-06,57726,22700,8402,88828
2021-09-13,46143,32883,9978,89004
2021-09-20,111106,36430,9580,157116
2021-09-27,115200,54677,14089,183966
2021-10-04,107605,25605,9154,142364
2021-10-11,70190,29085,5180,104455
2021-10-18,48030,15577,4657,68264
2021-10-25,19019,6415,2177,27611
2021-11-01,2701,6427,2211,11339
2021-11-08,5606,4714,1673,11993
2021-11-15,7790,3145,2354,13289
2021-11-22,7931,2637,1558,12126
2021-11-29,1358,1677,1259,4294
2021-12-06,1369,1570,1151,4090
2021-12-13,2459,16374,1106,19939
2021-12-20,8539,2656,2582,13777
2021-12-27,2233,1702,2863,6798
2022-01-03,1634,4086,1146,6866
2022-01-10,10397,20850,2333,33580
2022-01-17,26704,21627,5348,53679
2022-01-24,23918,14258,1683,39859
2022-01-31,19695,15776,1781,37252
2022-02-07,79866,31170,2511,113547
2022-02-14,37670,19066,1751,58487
2022-02-21,79830,9075,5723,94628
2022-02-28,17830,17929,54651,90410
2022-03-07,9257,8159,2950,20366
2022-03-14,6281,6479,1346,14106
2022-03-21,1305,6857,407,8569
2022-03-28,1455,2462,124,4041
2022-04-04,1818,2698,60,4576
2022-04-11,141,246,2,389
2022-04-18,1457,456,1642,3555
2022-04-25,307,891,89,1287
2022-05-02,2865,567,804,4236
2022-05-09,586,250,50,886
2022-05-16,644,399,35,1078
2022-05-23,241,637,233,1111
2022-05-30,827,1490,1326,3643
2022-06-06,1164,2972,1217,5353
2022-06-13,840,832,289,1961
2022-06-20,1183,435,234,1852
2022-06-27,44,16,3,63
2022-07-04,238,42,137,417
2022-07-11,514,114,277,905
2022-07-18,4541,1897,270,6708
2022-07-25,102,271,6,379
2022-08-01,155,144,52,351
2022-08-08,273,111,214,598
total,1955787,939010,293736,3188533
